num_cajas,replica,E[T],Lq,rho,porcentaje_sla,costo_cajas,costo_espera,costo_sla,costo_total,clientes_atendidos
3,8,1.0118220122382844,0.21773918763157388,0.6271465364092693,100.0,90.0,12.546592951754732,0.0,102.54659295175473,124
3,9,1.0255775266076996,0.3323318414490571,0.6241383365319026,100.0,90.0,12.512045824613935,0.0,102.51204582461393,122
3,10,0.9725925996334327,0.19606333850921556,0.5081041385439844,100.0,90.0,10.11496303618771,0.0,100.1149630361877,104
4,1,0.9371999091216768,0.13607372898394202,0.4072465249654707,100.0,120.0,10.590358973074942,0.0,130.59035897307496,113
4,2,0.9185610313985133,0.05611987320111605,0.41632350025537607,100.0,120.0,10.196027448523505,0.0,130.1960274485235,111
4,3,1.0449775156452974,0.19692960245624433,0.46374226720061823,100.0,120.0,12.121739181485445,0.0,132.12173918148545,116
4,4,0.9270982839943117,0.04050559279555924,0.40972153767863473,100.0,120.0,10.01266146713857,0.0,130.01266146713857,108
4,5,0.9566564087145348,0.16416992805639172,0.42226376673040206,100.0,120.0,10.905883059345697,0.0,130.90588305934568,114
4,6,0.8865527591100799,0.12093134582515962,0.3805765196947543,100.0,120.0,9.84073562612189,0.0,129.8407356261219,111
4,7,0.9533057639232101,0.10383286226064549,0.4125325080967112,100.0,120.0,10.486363403155313,0.0,130.4863634031553,110
4,8,0.8785089874530712,0.08013798870409508,0.4302013588936752,100.0,120.0,10.805660545672778,0.0,130.80566054567277,123
4,9,0.9350759823082154,0.18525513018518452,0.45628955794436965,100.0,120.0,12.062480171775979,0.0,132.06248017177597,129
4,10,0.9215264293351919,0.06531386416979865,0.4112767000079487,100.0,120.0,10.136790722687111,0.0,130.13679072268712,110
5,1,0.9254850018011765,0.08635550559260513,0.4268662781883292,100.0,150.0,13.234435525756826,0.0,163.23443552575682,143
5,2,0.8856161540041174,0.02887327504765196,0.38043936870577133,100.0,150.0,11.513010002053536,0.0,161.51301000205353,130
5,3,0.8891041663625555,0.020764343252533735,0.38705296454901766,100.0,150.0,11.73617499598573,0.0,161.73617499598572,132
5,4,0.9712054762542012,0.0934708216237057,0.3976809028264077,100.0,150.0,12.334309548428363,0.0,162.33430954842837,127
5,5,0.8969034996934911,0.05246942903959408,0.3552255217125271,100.0,150.0,10.942222696260586,0.0,160.9422226962606,122
5,6,0.9047495974725024,0.017802523081669363,0.34519277474540944,100.0,150.0,10.404620370933774,0.0,160.40462037093377,115
5,7,0.9469595937696863,0.05343997635636969,0.37756543817429744,100.0,150.0,11.647603003367141,0.0,161.64760300336715,123
5,8,0.9153424225418457,0.03787397220931883,0.3677578795190545,100.0,150.0,11.167177555010515,0.0,161.1671775550105,122
5,9,0.8752679393608165,0.027176268863014386,0.38381543025938547,100.0,150.0,11.4660100056267,0.0,161.46601000562669,131
5,10,0.9484879567111931,0.029334492744452472,0.3400284774870226,100.0,150.0,10.243669932480891,0.0,160.24366993248088,108
